Uke,Artificial Intelligence,Machine Learning,Deep Learning
2022-01-02,40,36,8
2022-01-09,44,14,0
2022-01-16,15,0,0
2022-01-23,52,0,10
2022-01-30,22,48,0
2022-02-06,15,12,0
2022-02-13,50,35,0
2022-02-20,30,19,0
2022-02-27,46,0,8
2022-03-06,37,7,0
2022-03-13,16,56,9
2022-03-20,43,13,0
2022-03-27,52,25,0
2022-04-03,42,9,15
2022-04-10,41,32,25
2022-04-17,52,38,0
2022-04-24,31,24,22
2022-05-01,41,45,0
2022-05-08,22,16,0
2022-05-15,35,0,30
2022-05-22,27,33,6
2022-05-29,42,23,0
2022-06-05,39,32,0
2022-06-12,46,29,9
2022-06-19,48,10,0
2022-06-26,38,6,7
2022-07-03,25,26,17
2022-07-10,57,14,12
2022-07-17,32,13,0
2022-07-24,44,26,0
2022-07-31,52,0,0
2022-08-07,39,30,0
2022-08-14,56,21,0
2022-08-21,40,8,0
2022-08-28,47,18,0
2022-09-04,34,7,16
2022-09-11,45,32,0
2022-09-18,33,28,10
2022-09-25,39,40,0
2022-10-02,51,8,0
2022-10-09,48,29,0
2022-10-16,55,8,0
2022-10-23,41,22,0
2022-10-30,60,29,0
2022-11-06,47,38,0
2022-11-13,43,25,0
2022-11-20,39,26,0
2022-11-27,35,20,0
2022-12-04,57,23,0
2022-12-11,100,54,0
2022-12-18,42,42,19
2022-12-25,43,21,12
2023-01-01,81,22,10
2023-01-08,75,9,14
2023-01-15,56,23,17
2023-01-22,79,22,7
2023-01-29,61,12,25
